tag,metric,baseline,n_pairs,ppo_mean,baseline_mean,mean_diff,ci_low,ci_high,wilcoxon_stat,p_value,cohens_d_paired,rank_biserial
code,quality,epsilon,30,0.9133333333333333,0.8666666666666667,0.04666666666666666,-0.08666666666666666,0.18666666666666665,21.0,0.48240094511277043,0.12042823501036529,0.2
code,quality,softmax,30,0.9133333333333333,0.36,0.553333333333333,0.44999999999999984,0.6566666666666665,0.0,2.192254330027101e-06,1.8357899747272395,1.0
code,quality,ucb,30,0.9133333333333333,0.92,-0.006666666666666665,-0.13333333333333333,0.12333333333333334,13.0,0.8607562233837367,-0.018667456295311656,-0.14285714285714285
code,quality,thompson,30,0.9133333333333333,0.5466666666666666,0.3666666666666666,0.22,0.5066666666666665,9.5,0.00030159114526417816,0.8969099738247215,0.8888888888888888
code,quality,moucb,30,0.9133333333333333,0.9533333333333334,-0.039999999999999994,-0.14333333333333334,0.06999999999999999,8.0,0.5785147215079439,-0.13227331273138643,-0.3333333333333333
explain,quality,epsilon,468,0.6176495726495727,0.5031623931623932,0.11448717948717947,0.06684455128205127,0.16458707264957256,31131.5,1.2260821177648449e-05,0.20968919872946215,0.18427518427518427
explain,quality,softmax,468,0.6176495726495727,0.5633333333333334,0.05431623931623931,0.004014957264957264,0.10224572649572637,37487.0,0.04429472412085329,0.09976529360609956,0.06569343065693431
explain,quality,ucb,468,0.6176495726495727,0.49047008547008547,0.12717948717948718,0.08089583333333333,0.17642307692307688,28895.5,9.01715669396553e-07,0.2400325071034934,0.19201995012468828
explain,quality,thompson,468,0.6176495726495727,0.5525641025641026,0.06508547008547012,0.017328525641025633,0.1148338675213675,35406.5,0.010106882921018722,0.12194113447551218,0.11547911547911548
explain,quality,moucb,468,0.6176495726495727,0.5011538461538462,0.11649572649572641,0.06969551282051284,0.16664850427350428,28810.5,5.775290261104616e-06,0.22021968640578252,0.17468354430379746
tests,quality,epsilon,3,0.0,0.6666666666666666,-0.6666666666666666,-1.0,0.0,0.0,0.15729920705028502,-1.1547005383792512,-1.0
tests,quality,softmax,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
tests,quality,ucb,3,0.0,0.3333333333333333,-0.3333333333333333,-1.0,0.0,0.0,0.31731050786291415,-0.5773502691896256,-1.0
tests,quality,thompson,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
tests,quality,moucb,3,0.0,0.3333333333333333,-0.3333333333333333,-1.0,0.0,0.0,0.31731050786291415,-0.5773502691896256,-1.0
code,latency_s,epsilon,30,19.423489944269143,15.64654133830142,3.7769486059677244,0.9596072228784761,6.640475965032332,126.0,0.027741437777876854,0.47023502949916923,0.26666666666666666
code,latency_s,softmax,30,19.423489944269143,8.12125098973332,11.302238954535824,9.042621204351356,13.484578480187979,9.0,6.146728992462158e-08,1.7869036712438742,0.8666666666666667
code,latency_s,ucb,30,19.423489944269143,14.757411444733286,4.666078499535858,2.397976485646709,7.0318717738177074,75.0,0.0007296018302440643,0.6986921377993732,0.4666666666666667
code,latency_s,thompson,30,19.423489944269143,11.310690199466505,8.112799744802638,4.655499573839137,11.238840666413486,56.0,0.00011058151721954346,0.8889210310135286,0.6
code,latency_s,moucb,30,19.423489944269143,17.107569857900124,2.315920086369018,-0.0150032025093651,4.643432015781718,142.0,0.0635564886033535,0.3484102983468915,0.3333333333333333
explain,latency_s,epsilon,468,17.786324568502206,13.388660638606757,4.397663929895448,3.3964630826442512,5.446340666584181,32253.0,1.099850953076442e-14,0.375704166931416,0.3717948717948718
explain,latency_s,softmax,468,17.786324568502206,13.29223285513889,4.494091713363313,3.4890415682017593,5.491631518754963,31397.0,1.0612402580273804e-15,0.4020542244210582,0.358974358974359
explain,latency_s,ucb,468,17.786324568502206,12.32689766878636,5.459426899715845,4.5128736421021935,6.440721281928384,26848.0,1.0331661560580271e-21,0.5028110326755467,0.47435897435897434
explain,latency_s,thompson,468,17.786324568502206,14.659576311574991,3.1267482569272143,2.146999991871033,4.1401391188028756,37703.0,4.480826817788958e-09,0.27726501843362156,0.2606837606837607
explain,latency_s,moucb,468,17.786324568502206,13.340990593134586,4.4453339753676175,3.4974393902812535,5.469354686924516,30687.0,1.4312991217760277e-16,0.39936730171318824,0.42735042735042733
tests,latency_s,epsilon,3,15.275608748333374,16.287428747668553,-1.0118199993351784,-4.08138311401126,2.260888057993725,2.0,0.75,-0.31858192611574754,-0.3333333333333333
tests,latency_s,softmax,3,15.275608748333374,11.984006956667145,3.291601791666229,-1.3217600870048045,11.801854633999028,3.0,1.0,0.44608925984104686,-0.3333333333333333
tests,latency_s,ucb,3,15.275608748333374,9.30253366899827,5.9730750793351035,1.1655089519954345,11.868014761002996,0.0,0.25,1.0993095079448674,1.0
tests,latency_s,thompson,3,15.275608748333374,12.417898562334207,2.857710185999167,-3.5326444810052635,12.137222088997078,3.0,1.0,0.34745229977172265,-0.3333333333333333
tests,latency_s,moucb,3,15.275608748333374,16.224808269666635,-0.9491995213332606,-4.4607565160004015,1.091556578005111,3.0,1.0,-0.31076252194558646,0.3333333333333333
code,reward,epsilon,30,-7.527804972134572,-14.830554671634752,7.302749699500181,5.117200057215586,9.445317149518903,32.0,5.144625902175903e-06,1.1965639692014056,0.6
code,reward,softmax,30,-7.527804972134572,-3.2566254948666598,-4.2711794772679115,-5.204149116144223,-3.303881174587187,10.0,8.009374141693115e-08,-1.6027494299250098,-0.8666666666666667
code,reward,ucb,30,-7.527804972134572,-5.175072389033309,-2.352732583101262,-3.4455405671065757,-1.3177139830717106,70.0,0.00046010687947273254,-0.76060209849985,-0.4666666666666667
code,reward,thompson,30,-7.527804972134572,-4.388245099733252,-3.1395598724013194,-4.416693746894486,-1.6927220661233604,62.0,0.00020912662148475647,-0.8384934159299635,-0.6
code,reward,moucb,30,-7.527804972134572,-16.206106524566792,8.678301552432218,6.775809281992261,10.513907146135603,6.0,2.60770320892334e-08,1.5979841465907336,0.8
explain,reward,epsilon,468,-7.465966557755376,-12.941307647153764,5.475341089398386,4.688305387745274,6.225850598062796,21222.0,1.391194639876868e-30,0.6266609089363138,0.3504273504273504
explain,reward,softmax,468,-7.465966557755376,-5.373385658338676,-2.092580899416701,-2.485282995679692,-1.6962034674223543,28318.0,1.1753202366099238e-19,-0.4707764358971481,-0.3803418803418803
explain,reward,ucb,468,-7.465966557755376,-5.0375069540513,-2.428459603704077,-2.8179540794457876,-2.0461801660768493,24734.0,7.369192511892867e-25,-0.5561218032137515,-0.4829059829059829
explain,reward,thompson,468,-7.465966557755376,-6.067576617325956,-1.3983899404294176,-1.8089025502352634,-1.0079857606041212,36347.0,2.473840515049356e-10,-0.3089482156145427,-0.2777777777777778
explain,reward,moucb,468,-7.465966557755376,-12.897782473476466,5.4318159157210895,4.6256522991392,6.1753494695981495,20636.0,1.3424899269271682e-31,0.6432611216113129,0.358974358974359
tests,reward,epsilon,3,-7.73513770750002,-15.673962081001884,7.938824373501865,5.097183911485713,11.176205077011396,0.0,0.25,2.5954291429512537,1.0
tests,reward,softmax,3,-7.73513770750002,-6.117403478333571,-1.617734229166448,-6.052927316999514,0.7140800435024017,3.0,1.0,-0.42099029199359417,0.3333333333333333
tests,reward,ucb,3,-7.73513770750002,-3.8677335011658016,-3.867404206334218,-6.086007380501498,-0.5575544759977173,0.0,0.25,-1.3238587926633893,-1.0
tests,reward,thompson,3,-7.73513770750002,-6.308949281167102,-1.4261884263329172,-6.220611044498539,1.7753222405026312,3.0,1.0,-0.33721821385113465,0.3333333333333333
tests,reward,moucb,3,-7.73513770750002,-15.932774936333303,8.197637228833281,3.3396175955022045,12.543678479000539,0.0,0.25,1.773098384761537,1.0
